City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kavaratti,IN,10.5669,72.642,79.23,75,39,12.95,scattered clouds
80,Chuy,UY,-33.6971,-53.4616,77.9,51,5,14.47,clear sky
81,Tuatapere,NZ,-46.1333,167.6833,57.81,95,92,2.35,overcast clouds
82,Bubaque,GW,11.2833,-15.8333,79.65,70,1,11.23,clear sky
83,Tomatlan,MX,19.9333,-105.25,87.04,19,0,7.61,clear sky
84,Kotovo,RU,50.3211,44.8012,28.31,97,98,9.31,light snow
85,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,75,3.44,broken clouds
86,Camacha,PT,33.0833,-16.3333,63.36,94,40,8.05,scattered clouds
87,Palestine,PS,31.9216,35.2033,44.02,97,55,8.37,broken clouds
88,Tasiilaq,GL,65.6145,-37.6368,6.57,62,35,7.14,scattered clouds
89,Cidreira,BR,-30.1811,-50.2056,76.5,72,0,16.33,clear sky
90,Shubarshi,KZ,48.5872,57.1869,22.48,92,100,17.09,overcast clouds
91,Dicabisagan,PH,17.0818,122.4157,74.37,87,100,5.5,overcast clouds
92,Vardo,NO,70.3705,31.1107,26.58,80,75,12.66,broken clouds
93,Verkhoyansk,RU,67.5447,133.385,-40.0,100,98,1.61,overcast clouds
94,Diamantino,BR,-14.4086,-56.4461,80.13,82,86,3.87,overcast clouds
95,Hasaki,JP,35.7333,140.8333,34.2,83,100,30.87,overcast clouds
96,Amapa,BR,1.0,-52.0,80.73,82,100,4.18,overcast clouds
97,Pevek,RU,69.7008,170.3133,-33.81,99,100,8.25,overcast clouds
98,Riachao Do Jacuipe,BR,-11.8069,-39.3856,90.39,42,43,9.1,scattered clouds
99,Lasa,IT,46.6166,10.7002,41.29,78,18,1.74,few clouds
100,Danielskuil,ZA,-28.1887,23.5395,73.76,37,6,3.6,clear sky
101,Shimanovsk,RU,52.0,127.7,-9.96,98,34,4.5,scattered clouds
102,Dom Pedrito,BR,-30.9828,-54.6731,93.6,19,0,4.79,clear sky
103,Piracuruca,BR,-3.9281,-41.7092,79.92,76,98,4.76,overcast clouds
104,Shimoda,JP,34.6667,138.95,38.1,85,100,15.88,overcast clouds
105,New Norfolk,AU,-42.7826,147.0587,56.7,55,15,2.48,few clouds
106,Mezen,RU,65.8522,44.24,25.03,90,100,13.31,overcast clouds
107,Bell Ville,AR,-32.6259,-62.6887,93.67,18,0,10.85,clear sky
108,Leningradskiy,RU,69.3833,178.4167,-19.43,96,100,5.06,overcast clouds
109,Evensk,RU,61.95,159.2333,-13.2,73,67,5.46,broken clouds
110,Nemuro,JP,43.3236,145.575,23.16,74,68,4.34,broken clouds
111,Tessalit,ML,20.1986,1.0114,71.53,8,2,10.98,clear sky
112,Mahebourg,MU,-20.4081,57.7,79.09,83,75,3.44,broken clouds
113,Saint George,US,37.1041,-113.5841,61.63,32,0,5.75,clear sky
114,Bredasdorp,ZA,-34.5322,20.0403,62.28,68,0,5.75,clear sky
115,Dalbandin,PK,28.8947,64.4101,55.18,18,0,5.64,clear sky
116,Saint-Pierre,RE,-21.3393,55.4781,76.68,78,75,4.61,broken clouds
117,Namwala,ZM,-15.7504,26.4384,67.3,94,100,3.29,overcast clouds
118,Kieta,PG,-6.2167,155.6333,78.75,84,69,3.91,light rain
119,Faanui,PF,-16.4833,-151.75,81.21,75,66,14.58,broken clouds
120,La Ronge,CA,55.1001,-105.2842,8.82,78,100,14.97,overcast clouds
121,Paamiut,GL,61.994,-49.6678,14.56,74,100,8.12,overcast clouds
122,Half Moon Bay,US,37.4636,-122.4286,75.9,36,0,25.32,clear sky
123,Langenhagen,DE,52.45,9.75,45.05,85,20,9.22,few clouds
124,Ayna,PE,-12.65,-73.9167,62.76,87,100,1.3,overcast clouds
125,Fare,PF,-16.7,-151.0167,81.46,73,96,15.9,overcast clouds
126,Mount Gambier,AU,-37.8333,140.7667,52.36,91,20,4.81,few clouds
127,Yumen,CN,40.2833,97.2,24.58,45,100,10.02,overcast clouds
128,Luba,GQ,3.4568,8.5547,82.24,81,64,8.34,broken clouds
129,Ngunguru,NZ,-35.6167,174.5,74.16,97,94,11.23,overcast clouds
130,Bengkulu,ID,-3.8004,102.2655,75.96,75,100,5.44,overcast clouds
131,Georgetown,MY,5.4112,100.3354,79.95,91,20,2.3,few clouds
132,Kabwe,ZM,-14.4469,28.4464,65.7,96,100,4.38,overcast clouds
133,Karratha,AU,-20.7377,116.8463,84.18,74,9,10.83,clear sky
134,Caravelas,BR,-17.7125,-39.2481,83.3,65,0,10.25,clear sky
135,Castro,BR,-24.7911,-50.0119,76.26,59,37,6.82,scattered clouds
136,Port Hardy,CA,50.6996,-127.4199,46.76,90,58,11.48,broken clouds
137,Iskateley,RU,67.6803,53.1512,23.47,88,100,20.78,overcast clouds
138,Batemans Bay,AU,-35.7167,150.1833,67.19,84,100,6.2,overcast clouds
139,Sur,OM,22.5667,59.5289,69.35,54,0,2.51,clear sky
140,Ucluelet,CA,48.9329,-125.5528,46.09,94,67,0.25,broken clouds
141,Awjilah,LY,29.1081,21.2869,54.59,48,5,7.65,clear sky
142,Saskylakh,RU,71.9167,114.0833,4.59,94,100,13.44,light snow
143,Port-Gentil,GA,-0.7193,8.7815,81.07,79,100,5.44,light rain
144,Constitucion,CL,-35.3333,-72.4167,66.72,62,100,7.36,overcast clouds
145,Maragogi,BR,-9.0122,-35.2225,83.48,59,39,17.02,scattered clouds
146,San Rafael,AR,-34.6177,-68.3301,87.75,24,33,14.7,scattered clouds
