City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
173,Conde,BR,83.66,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
174,The Valley,AI,80.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
176,Stephenville,US,70.14,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
177,Amuntai,ID,72.3,overcast clouds,-2.4177,115.2494,Hotel Balqis
180,Gouyave,GD,78.19,clear sky,12.1646,-61.7296,Rumboat Retreat
181,Yanam,IN,68.09,clear sky,16.7333,82.2167,The Regency Hotel
183,Olinda,BR,85.73,clear sky,-8.0089,-34.8553,Hotel Albergue de Olinda
184,Liwale,TZ,69.26,overcast clouds,-9.7667,37.9333,Samoma lodge
187,Ahipara,NZ,73.17,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
193,Pitimbu,BR,86.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
197,Ponta Do Sol,PT,68.72,overcast clouds,32.6667,-17.1,Hotel do Campo
199,Manzanillo,CU,87.06,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
200,Nicoya,CR,90.95,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
203,Kontagora,NG,83.8,clear sky,10.3999,5.4695,Queens Guest Inn
206,Sampit,ID,73.33,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
207,Mar Del Plata,AR,82.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
208,Carutapera,BR,79.9,overcast clouds,-1.195,-46.02,Lidera
213,Santa Isabel Do Rio Negro,BR,89.6,overcast clouds,-0.4139,-65.0192,Hotel GSA
214,Ascension,US,71.02,clear sky,30.2169,-90.9001,Highland Inn
217,Antsohihy,MG,73.51,moderate rain,-14.8796,47.9875,Hotel de Ville
218,Pajapan,MX,69.96,broken clouds,18.25,-94.7,Hotel Del Carmen
221,Alberdi,AR,93.22,clear sky,-32.8899,-60.6906,Green House.river
226,Pisco,PE,80.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
227,Rohnert Park,US,76.32,clear sky,38.3396,-122.7011,DoubleTree by Hilton Hotel Sonoma Wine Country
232,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
234,Maraba,BR,81.88,light rain,-5.3686,-49.1178,Hotel Del Principe
235,Tela,HN,77.22,drizzle,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
238,Pilar,BR,85.93,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
244,Moree,AU,70.81,clear sky,-29.4667,149.85,Molika Springs Motel
249,Touros,BR,88.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
253,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
258,Angol,CL,75.72,overcast clouds,-37.8,-72.7167,Hostal Gina
261,Cap Malheureux,MU,79.29,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
264,Estancia,BR,87.28,overcast clouds,-11.2683,-37.4383,Tropical Hotel
265,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
267,Soure,BR,81.59,light rain,-0.7167,-48.5233,Casarão da Amazônia
268,Semporna,MY,77.65,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
269,Tabou,CI,80.1,clear sky,4.423,-7.3528,hotêl doufoulougou
270,Quelimane,MZ,76.91,scattered clouds,-17.8786,36.8883,Hotel Flamingo
273,Taltal,CL,68.32,scattered clouds,-25.4,-70.4833,Residencial Karime
275,Byron Bay,AU,69.87,few clouds,-28.65,153.6167,Backpackers Inn
276,Panalingaan,PH,77.86,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
277,Aracuai,BR,85.96,broken clouds,-16.8497,-42.0703,Village das Minas Hotel
287,Vazante,BR,77.16,overcast clouds,-17.9869,-46.9078,Hotel Pousada e Restaurante
294,Voh,NC,78.55,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
296,San Patricio,US,72.32,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
300,Padang,ID,77.38,overcast clouds,-0.9492,100.3543,Mercure Padang
302,Anloga,GH,81.63,clear sky,5.7947,0.8973,Pin Drop Hotel
304,Conceicao Do Araguaia,BR,83.73,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
308,Bom Jesus,BR,90.52,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
309,Huarmey,PE,75.4,overcast clouds,-10.0681,-78.1522,Hotel Miramar
